Ammonia (ppm),CO2 (ppm),Temperature (°C),Humidity (%),Egg Production (eggs/hen/day),Egg Production Category
10.11009165,491.0749462,34.29609153,72.18168941,5.078118798,High
35.2207938,383.8252781,32.98144108,52.18585661,6.609775054,High
28.41384654,737.714668,24.44752357,41.11724669,7.686562944,High
39.75432763,530.6244942,22.38924556,80.43576984,7.036935087,High
28.40735755,742.0816684,26.53084094,64.55692678,7.251126155,High
43.34816751,954.5986947,26.02848062,55.34190654,5.473476609,High
29.83580774,1903.070733,28.63578958,45.09659534,4.740856194,High
30.24220872,1337.639302,28.75079348,43.13607955,4.589329929,High
44.44941212,1719.455436,31.24980477,57.44333609,3.229825566,Low
23.15672898,1507.597551,27.64834922,80.23685324,4.728250449,High
11.03068528,491.2553219,21.57233961,85.93618747,9.621055575,High
6.295220434,1551.064691,32.87437003,84.83756823,4.674930076,High
38.98117651,767.6680987,24.64646875,86.00004174,5.535359873,High
32.91392981,1386.48334,34.5694619,85.38626716,2.840658826,Low
36.68358956,879.6353552,21.76790163,66.36123758,6.544502619,High
14.58338727,1996.042848,34.37376758,50.97078193,2.12360685,Low
11.1367164,748.0375151,21.3651771,79.90232914,8.237784706,High
5.654509955,774.5218003,23.46554207,50.68564874,9.066673624,High
20.77644015,1882.142834,20.69869913,53.36036384,6.636583246,High
31.54629591,341.8954879,30.5766972,51.66271609,6.149062705,High
22.65098203,1484.371279,32.75448105,65.74912018,3.530499261,Low
24.68637149,1533.054864,26.51106623,56.09137541,5.620069115,High
45.68714125,1721.843582,33.92783113,47.70780248,2.173574449,Low
20.67149602,1956.546828,28.85448608,62.65867059,4.390895726,High
28.12952701,1958.523263,29.45010703,83.69536194,3.777555182,Low
40.26438557,410.9704879,32.68128803,68.52764275,4.679219297,High
22.8444252,1697.126849,24.45200308,83.91678029,4.889044033,High
32.99390151,1398.726887,25.31398582,49.79360925,5.969551284,High
43.80636689,1400.481628,33.58927879,48.34869368,2.09283348,Low
47.72842806,518.1948752,33.51445244,68.77885628,3.507923922,Low
11.61830664,1405.318183,34.64724164,63.16644508,4.150637381,High
46.69644313,1970.220387,33.52757475,73.00863208,0.844227816,Low
27.14523319,1850.091568,21.91058054,79.73133955,4.870658022,High
16.62099747,1046.522123,32.35586429,77.56536478,3.772937764,Low
25.66110903,367.9115546,26.14757717,87.11305868,7.118945454,High
49.10146589,915.898933,34.86202034,59.91282046,3.327214597,Low
27.16781423,1704.86353,27.08421446,50.31933711,5.364504036,High
19.79382246,1492.548472,28.30754124,67.545632,4.937477172,High
33.50303844,1080.884215,27.94662373,45.53715601,6.572804119,High
15.80655285,393.6726098,24.82605545,54.44255617,8.533249198,High
8.413849765,1025.721037,21.12533133,50.39440276,8.81309417,High
10.79958749,1097.342398,33.43476846,59.82818584,3.454623622,Low
10.76206275,1878.544406,32.04013719,45.56082875,3.657868845,Low
11.83562121,1389.846376,22.09290171,41.59208723,8.294821448,High
11.24722277,829.8099583,31.65152407,72.83970023,6.307748388,High
33.83936352,1193.04105,29.38769999,70.51244891,3.980273433,Low
13.1846038,412.2940233,26.13715682,75.4179468,8.097801946,High
20.55502775,1953.366001,23.81031724,73.01932201,5.685474516,High
45.35547845,912.1018333,32.89593175,45.71473406,3.830552281,Low
26.32827381,1112.374503,30.50282389,54.55394407,3.775271026,Low
35.04009823,903.9827562,28.21609864,46.4763305,5.869318373,High
12.7543942,1460.269941,29.14352801,82.1486201,5.136424915,High
13.65300585,1425.794669,21.36599273,77.34518277,6.735347447,High
6.839087732,1516.047928,27.10879641,50.07635015,6.064706565,High
12.60207784,755.8434903,22.90550439,57.06546202,7.967500548,High
17.53656526,836.636418,23.12575519,88.33074961,6.160483579,High
12.96547179,512.9270929,29.91955943,69.70796789,7.169347242,High
8.991614019,1414.366952,33.66884228,80.05777987,3.718002847,Low
10.4286142,367.6551165,26.05634916,53.22955174,9.360600774,High
25.73504456,1316.05997,23.1162391,50.50264601,7.264864278,High
14.28501733,1778.483004,29.73120406,79.19584644,3.748400098,Low
21.39214375,1814.414652,33.0678057,74.29362276,2.553759015,Low
27.65377719,1063.364193,31.22478202,74.04889646,4.625258916,High
36.06776729,1080.81627,33.03135846,67.63172909,3.956378685,Low
